cqlsh> use avg_space ;
cqlsh:avg_space> select * from avg;

 word | count
------+----------
    z | 12.59044
    a | 12.78085
    c | 12.65507
    m | 12.69243
    f | 12.40079
    o | 12.46548
    n | 12.53037
    q | 12.39685
    g | 12.34307
    p | 12.21033
    e | 12.28107
    r | 12.69009
    d | 12.59286
    h | 12.27803
    w | 12.78082
    l | 12.34309
    j | 12.38812
    v | 12.46731
    y | 12.26468
    u | 12.40615
    i | 12.32986
    k | 12.65245
    t | 12.76857
    x | 13.01465
    b | 12.34286
    s | 12.27967

(26 rows)
